,,,Premature death,,,,,,,,,,,,,,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,,,,,,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,,,Mammography screening,,,,,,,Flu vaccinations,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,,,,,,,,,,,,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,,,,,,,Driving alone to work,,,,,,,,,,,,,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,High School Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,Annual Average Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
1000,Alabama,,81791,9943,9841,10045,,,,,,,,,,,,,,,,,22,21,23,,4.9,4.6,5.2,,4.9,4.6,5.3,,,10,10,10,,,,,,,,,,,,,,,,,21,20,22,,36,,,,5.8,,30,,,,61,,14,13,15,,1284,4654,28,27,28,,29935,614.1,,31,31,31,,,,,,,,,,,,,,,,,438049,11,11,11,,3160,65,1543:01:00,,2355,48,2076:01:00,,4948,101,988:01:00,,5805,,,,,,,40,,,,,,,41,,,,,,,54917,89,,744300,1232042,60,60,61,,86493,2198844,3.9,,24,23,25,,,,,,,99688,18948,5.3,,406913,1089671,37,37,38,,6031,12.4,,23307,480,,20015,82,81,83,,,,,,,,,,,,,,,,,11,,,,14,14,15,,,,,,,,,,,86,86,86,,,,,,,,,,,,,,,,,2051445,34,34,35,
1001,Alabama,Autauga,791,8129,7283,8974,1,,,,,,,10201,8124,12279,,,,7886,6924,8848,21,20,21,1,4.7,4.6,4.9,2,4.7,4.5,4.8,1,,9,8,9,1,,,,,,,14,11,16,,,,7,6,8,18,17,19,1,33,28,40,1,7.2,2,35,29,41,3,69,1,15,14,16,4,15,56,27,20,34,2,226,407.2,2,25,23,28,1,,,,,,,31,25,39,,,,24,21,27,4093,9,8,10,1,25,45,2220:01:00,2,18,32,3089:01:00,2,13,23,4277:01:00,3,7108,4,,,8464,,6877,41,2,,,36,36,42,41,2,,46,30,29,43,660,90,3,8953,14438,62,56,68,1,942,25957,3.6,1,19,14,24,1,,7,46,,18,110026,21019,5.2,3,3495,13318,26,21,32,1,67,12.1,2,149,272,2,190,69,59,78,1,,,,,,,42,27,64,,,,77,65,89,11.7,4,No,1,15,12,17,13,10,15,1,1,2,1,0,2,3,87,85,88,3,,,,,,,82,76,89,,,,84,80,89,24428,40,36,43,3
1003,Alabama,Baldwin,2967,7354,6919,7790,1,,,,,,,9891,8389,11392,3570,2373,5160,7436,6940,7931,18,17,18,1,4.2,4.1,4.4,1,4.3,4.1,4.5,1,,8,8,9,1,,,,11,7,15,15,13,17,5,4,7,8,7,8,17,17,18,1,31,28,34,1,8,1,27,24,29,1,74,1,18,17,19,4,48,156,31,27,35,3,691,325,1,28,26,30,1,,,,,,,33,29,38,46,37,55,26,25,28,19119,11,10,13,2,155,73,1372:01:00,1,108,50,2019:01:00,1,210,96,1038:01:00,1,4041,1,,8863,6135,,3975,43,1,36,45,36,32,44,44,1,50,46,30,40,45,2207,86,4,32812,48703,67,64,71,1,3393,93849,3.6,1,14,9,18,1,12,,27,26,11,111447,25227,4.4,1,10963,45415,24,21,27,1,217,10.2,3,408,204,1,755,72,67,78,1,,,,,,,42,30,57,,,,80,74,86,10.3,1,No,1,14,12,15,12,11,14,1,1,2,0,0,1,3,84,83,86,2,,,,,,,87,83,91,68,56,81,83,81,85,91420,42,39,44,3
1005,Alabama,Barbour,472,10254,8782,11725,2,,,,,,,12422,10131,14713,,,,8140,6329,9951,30,29,30,4,5.4,5.3,5.6,4,5.2,5,5.4,4,,11,10,13,3,,,,,,,15,13,18,,,,7,5,9,22,21,23,4,42,35,49,4,5.6,4,24,18,30,1,53,2,13,12,13,2,12,30,40,31,49,4,181,716.3,3,41,35,47,3,,,,,,,43,35,50,55,28,96,37,29,47,2136,12,10,14,3,8,32,3159:01:00,3,9,36,2765:01:00,2,2,8,12441:1,4,6209,3,,,5733,,6608,45,1,,,45,,46,37,3,,,31,,40,312,81,4,2363,6779,35,30,39,4,433,8373,5.2,4,44,33,55,4,,,65,69,17,76557,13475,5.7,4,3073,5429,57,50,63,4,19,7.5,4,106,414,3,91,70,57,86,1,,,,,,,72,53,96,,,,68,49,92,11.5,3,No,1,15,12,17,13,11,16,2,1,2,1,0,1,3,83,81,86,1,,,,,,,81,76,87,,,,87,85,90,8538,32,27,37,2
1007,Alabama,Bibb,471,11978,10344,13611,3,,,,,,,13085,9431,17687,,,,12241,10344,14139,19,19,20,1,4.6,4.4,4.8,1,4.6,4.4,4.7,1,,10,9,12,3,,,,,,,17,13,21,,,,9,7,10,19,18,20,2,38,30,46,3,7.8,2,34,26,42,3,16,4,16,15,16,4,8,29,28,18,38,2,77,339.7,2,42,36,48,4,,,,,,,22,13,35,,,,46,39,54,1727,10,9,12,1,11,49,2061:01:00,2,5,22,4480:01:00,3,5,22,4480:01:00,3,5961,2,,,3536,,6163,40,2,,,34,,42,38,3,,,27,,39,271,84,4,2635,5970,44,36,52,4,344,8661,4,2,28,19,36,2,,,20,11,21,87957,20134,4.4,1,1322,4608,29,17,40,1,19,8.4,4,20,89,1,122,108,89,127,4,,,,,,,93,59,139,,,,117,95,143,11.2,3,No,1,10,7,14,10,6,14,0,0,1,1,0,2,1,85,80,90,2,,,,,,,,,,,,,,,,7946,50,42,58,4
1009,Alabama,Blount,1085,11335,10289,12381,3,,,,,,,,,,,,,,,,22,21,23,2,4.9,4.7,5.1,2,4.9,4.7,5.1,2,,8,7,8,1,,,,,,,,,,7,5,9,8,7,9,19,19,20,2,34,28,40,1,8.4,1,30,25,35,2,16,4,14,14,15,3,14,72,19,14,26,1,136,234.4,1,34,30,37,2,,,,,,,42,22,74,32,24,42,34,30,38,6333,13,12,15,4,13,22,4463:01:00,4,11,19,5258:01:00,3,9,16,6427:01:00,4,4060,1,,,,,,34,4,,,29,18,34,39,2,,,20,30,39,689,93,1,7438,13939,53,48,59,2,878,25006,3.5,1,18,13,23,1,,,2,50,16,91702,20699,4.4,1,3825,13392,29,22,36,1,49,8.4,4,279,483,3,310,107,95,119,4,,,,,,,,,,45,23,79,116,103,129,11.7,4,No,1,11,9,12,8,6,9,2,1,3,1,1,2,1,86,84,88,3,,,,,,,,,,80,76,84,83,79,86,21148,59,54,64,4
1011,Alabama,Bullock,203,11680,9191,14168,3,,,,,,,,,,,,,,,,31,30,32,4,5.4,5.2,5.6,4,4.9,4.7,5.1,2,,16,13,18,4,,,,,,,18,15,21,9,4,14,,,,23,22,24,4,37,23,52,2,4.3,4,25,15,39,1,3,4,12,12,13,1,15,25,60,52,67,4,89,863.3,4,48,39,59,4,,,,,,,,,,,,,,,,803,11,10,13,2,3,29,3436:01:00,4,2,20,5069:01:00,3,2,20,5069:01:00,3,6632,4,,,6100,,7455,35,3,,,35,,37,28,4,,,25,,35,121,70,4,951,2719,35,23,47,4,224,4776,4.7,3,68,55,81,4,,,,,,69189,9337,7.4,4,1602,2142,75,65,84,4,8,7.8,4,33,311,2,56,107,81,139,4,,,,,,,113,81,153,,,,113,60,193,11.2,3,No,1,18,12,24,15,10,21,0,0,1,3,0,6,4,79,75,83,1,,,,,,,76,66,85,,,,74,58,89,3940,46,31,61,4
1013,Alabama,Butler,423,14360,12281,16439,4,,,,,,,16246,13148,19343,,,,13002,10077,15928,28,27,29,4,5.4,5.2,5.6,4,5.3,5.2,5.5,4,,13,11,14,4,,,,,,,15,13,17,,,,10,8,12,22,21,22,4,43,35,51,4,6.6,3,40,32,47,4,49,2,12,11,12,1,14,51,27,20,35,2,151,761.7,4,38,32,44,3,,,,,,,37,29,45,,,,41,32,51,1759,11,10,13,2,5,25,3965:01:00,4,6,30,3280:01:00,2,10,51,1968:01:00,2,9203,4,,,9610,,9249,42,1,,,43,,42,35,3,,,29,,38,239,82,4,2011,4825,42,35,48,4,427,8914,4.8,4,36,25,47,4,,,45,,18,80036,14757,5.4,3,2390,4534,53,44,61,4,18,9.1,3,117,582,4,100,100,80,120,3,,,,,,,94,68,127,,,,110,84,143,10.6,1,Yes,4,13,11,16,12,9,14,2,1,3,0,0,1,2,84,80,88,1,,,,,,,82,76,89,,,,88,85,91,7769,32,27,38,2
1015,Alabama,Calhoun,2373,12079,11352,12806,4,,,,,,,11372,9878,12866,,,,12661,11783,13538,23,23,24,3,4.9,4.7,5,2,4.8,4.6,5,2,,9,9,10,2,,,,,,,14,12,15,6,4,8,8,7,8,21,20,21,3,39,35,42,3,6.9,3,32,28,35,2,48,3,14,13,14,3,18,96,19,14,24,1,751,654.6,3,34,31,36,2,,,,,,,35,31,40,38,27,51,33,30,36,11021,12,10,13,3,73,64,1572:01:00,1,67,59,1706:01:00,1,132,116,866:01:00,1,6581,3,,,9098,2252,6305,32,4,,28,34,28,32,38,3,,55,28,29,39,1402,92,1,17099,28862,59,55,63,1,2139,45972,4.7,3,27,20,33,2,,14,53,23,16,90822,18078,5,2,10009,24903,40,36,44,3,166,14.5,1,871,756,4,515,90,82,97,3,,,,,,,72,58,88,,,,99,89,108,11.8,4,No,1,14,12,15,12,11,13,2,1,2,1,0,1,3,85,83,87,2,,,,,,,86,82,90,87,76,98,87,85,89,47147,31,29,34,1
