,FIPS,State,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Adults with Obesity,Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,Primary Care Physicians Ratio,Preventable Hospitalization Rate,Population,% Unemployed,Income Ratio,Social Association Rate,Code,zip,Lat,Lon
0,1001,Alabama,Autauga,8129.0,21,4.7,4.7,33,7.2,69.0,9.0,2220:01:00,7108.0,14438,3.6,5.2,12.1,AL,36003.0,32.43,-86.65
1,1003,Alabama,Baldwin,7354.0,18,4.2,4.3,31,8.0,74.0,11.0,1372:01:00,4041.0,48703,3.6,4.4,10.2,AL,36507.0,30.88,-87.77
2,1005,Alabama,Barbour,10254.0,30,5.4,5.2,42,5.6,53.0,12.0,3159:01:00,6209.0,6779,5.2,5.7,7.5,AL,36016.0,31.88,-85.45
3,1007,Alabama,Bibb,11978.0,19,4.6,4.6,38,7.8,16.0,10.0,2061:01:00,5961.0,5970,4.0,4.4,8.4,AL,35034.0,32.94,-87.17
4,1009,Alabama,Blount,11335.0,22,4.9,4.9,34,8.4,16.0,13.0,4463:01:00,4060.0,13939,3.5,4.4,8.4,AL,35013.0,33.9,-86.51
5,1011,Alabama,Bullock,11680.0,31,5.4,4.9,37,4.3,3.0,11.0,3436:01:00,6632.0,2719,4.7,7.4,7.8,AL,36029.0,32.17,-85.9
6,1013,Alabama,Butler,14360.0,28,5.4,5.3,43,6.6,49.0,11.0,3965:01:00,9203.0,4825,4.8,5.4,9.1,AL,36015.0,31.66,-86.72
7,1015,Alabama,Calhoun,12079.0,23,4.9,4.8,39,6.9,48.0,12.0,1572:01:00,6581.0,28862,4.7,5.0,14.5,AL,36201.0,33.66,-85.81
8,1017,Alabama,Chambers,11113.0,24,4.9,4.9,40,6.4,62.0,12.0,2408:01:00,5622.0,7664,3.9,4.7,17.8,AL,36852.0,32.75,-85.23
9,1019,Alabama,Cherokee,12350.0,21,4.8,4.7,35,8.3,33.0,11.0,2586:01:00,5521.0,5446,3.6,4.7,8.5,AL,35959.0,34.22,-85.59
10,1021,Alabama,Chilton,10019.0,21,4.8,4.9,38,8.1,46.0,14.0,4896:01:00,6148.0,11437,3.6,5.1,15.2,AL,35045.0,32.84,-86.62
11,1023,Alabama,Choctaw,12480.0,25,4.9,5.0,41,6.4,29.0,11.0,2589:01:00,4968.0,2772,5.5,5.9,19.3,AL,36904.0,32.08,-88.22
12,1025,Alabama,Clarke,11144.0,25,5.1,5.1,34,5.4,25.0,12.0,1853:01:00,6299.0,5514,7.5,8.5,16.2,AL,36436.0,31.76,-87.71
13,1027,Alabama,Clay,10462.0,24,5.0,5.0,41,7.8,64.0,14.0,2673:01:00,5249.0,2848,3.9,5.1,10.5,AL,35082.0,33.18,-86.09
14,1029,Alabama,Cleburne,11088.0,19,4.5,4.9,37,8.0,41.0,13.0,3725:01:00,6416.0,3530,4.2,4.8,8.1,AL,36261.0,33.7,-85.5
15,1031,Alabama,Coffee,8175.0,19,4.4,4.6,34,7.5,54.0,12.0,1853:01:00,4863.0,13238,3.9,4.7,14.7,AL,36034.0,31.66,-86.17
16,1033,Alabama,Colbert,10645.0,21,4.6,4.6,31,7.4,56.0,10.0,1557:01:00,6414.0,13032,4.6,4.8,16.9,AL,35616.0,34.75,-87.96
17,1035,Alabama,Conecuh,10822.0,29,5.4,5.4,43,5.6,37.0,12.0,2494:01:00,12070.0,2639,5.2,4.5,7.2,AL,36401.0,31.43,-86.95
18,1039,Alabama,Covington,11418.0,23,4.7,4.9,32,7.6,50.0,12.0,1952:01:00,9181.0,8392,4.6,4.9,12.7,AL,36038.0,31.4,-86.48
19,1041,Alabama,Crenshaw,9945.0,22,4.7,4.9,38,6.2,22.0,12.0,6936:01:00,7057.0,3309,4.1,5.5,10.1,AL,36009.0,31.58,-86.25
20,1043,Alabama,Cullman,10182.0,22,4.7,4.9,37,8.2,42.0,13.0,1799:01:00,6442.0,20344,3.3,4.4,11.7,AL,35019.0,34.26,-86.61
21,1045,Alabama,Dale,10467.0,23,5.0,4.8,37,6.7,46.0,10.0,5470:01:00,5120.0,12942,4.2,5.1,10.6,AL,36311.0,31.59,-85.71
22,1047,Alabama,Dallas,14717.0,30,5.6,5.6,43,4.6,60.0,10.0,1352:01:00,7183.0,9129,6.5,6.1,12.0,AL,36701.0,32.41,-87.03
24,1051,Alabama,Elmore,8763.0,19,4.3,4.7,34,7.6,52.0,9.0,3889:01:00,6334.0,22298,3.4,4.4,10.9,AL,36020.0,32.49,-86.33
25,1053,Alabama,Escambia,12227.0,26,5.2,5.2,39,6.6,48.0,14.0,2881:01:00,7412.0,9784,4.6,5.5,14.4,AL,36426.0,31.11,-87.07
26,1055,Alabama,Etowah,11905.0,21,4.9,4.8,36,7.1,49.0,12.0,1238:01:00,7421.0,25037,4.1,4.7,15.8,AL,35901.0,34.01,-86.01
27,1057,Alabama,Fayette,9721.0,22,4.9,5.0,41,7.9,34.0,11.0,1029:01:00,5911.0,3774,4.1,4.9,7.9,AL,35542.0,33.7,-87.68
28,1059,Alabama,Franklin,10155.0,25,5.2,5.2,34,7.9,58.0,15.0,2250:01:00,8122.0,7965,3.7,4.4,9.5,AL,35571.0,34.32,-87.92
29,1061,Alabama,Geneva,11145.0,23,5.0,5.0,39,7.8,20.0,14.0,3303:01:00,6845.0,6089,3.9,5.0,8.7,AL,36313.0,31.17,-85.79
30,1063,Alabama,Greene,11619.0,34,5.9,5.5,36,3.2,6.0,11.0,2083:01:00,7121.0,1772,6.7,5.9,9.6,AL,35443.0,32.75,-88.02
